+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                         ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                     ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|add_sub4|auto_generated                                                                                    ; 18    ; 0              ; 0            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|add_sub3|auto_generated                                                                                    ; 12    ; 0              ; 0            ; 0              ; 6      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|add_sub2|auto_generated                                                                                    ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|add_sub1|auto_generated                                                                                    ; 21    ; 0              ; 2            ; 0              ; 9      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder34 ; 2     ; 0              ; 1            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32|altpriority_encoder33 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder32                       ; 4     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder28 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31|altpriority_encoder27 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30|altpriority_encoder31                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder30                                             ; 8     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder26|altpriority_encoder28 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder26|altpriority_encoder27 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder26                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder25|altpriority_encoder28 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder25|altpriority_encoder27 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29|altpriority_encoder25                       ; 4     ; 0              ; 0            ; 0              ; 3      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22|altpriority_encoder29                                             ; 8     ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder22                                                                   ; 16    ; 0              ; 0            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; c3|c11|c8|altfp_addsub_altfp_add_sub_j6j_component|trailing_zeros_cnt|altpriority_encoder21|altpriority_encoder24|altpriority_encoder26|altpriority_encoder28 ; 2     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
